Специальные предложения,#42E295,Icon-cleaning-maxi@3x.png
Обувь,#66CBD8,Icon-shoes@3x.png
Головные уборы,#F37DA5,Icon-hats@3x.png
Сумки и аксессуары,#6B66D8,Icon-bags@3x.png
Верхняя одежда,#F9A55C,Icon-outerwear@3x.png
Изделия из кожи и замши,#56BDAE,Icon-skin@3x.png
Меховые изделия,#F6768E,Icon-fur@3x.png
Платья и юбки,#E2C753,Icon-drees@3x.png
Рубашки и блузы,#E9967A,Icon-shirt@3x.png
Брюки,#98BF7C,Icon-trousers@3x.png
Костюмы,#A475DA,Icon-suits@3x.png
Текстиль и трикотаж,#519DC9,Icon-textile@3x.png
Спортивная одежда,#BA986C,Icon-sportswear@3x.png
Домашняя одежда,#BAB86C,Icon-homewear@3x.png
Шторы,#CC8899,Icon-blinds@3x.png
Ковры,#C76574,Icon-carpets@3x.png
Все для дома,#E3256B,Icon-housing@3x.png
