Шапка или Берет,Головные уборы,"Из легкой ткани, пуха или шерсти",Icon-hats-001@3x.png
Шляпа,Головные уборы,Женские или мужские из фетра или велюра,Icon-hats-002@3x.png
Кепка или Панама,Головные уборы,Из текстиля или кожи,Icon-hats-003@3x.png
Косынка или Бандана или Платок,Головные уборы,"Из текстиля, пуха или шерсти",Icon-hats-004@3x.png
Сапоги,Обувь,"До колен, из кожи, замши или нубука",Icon-shoes-005@3x.png
Ботфорты,Обувь,"Выше колен, из кожи, замши или нубука",Icon-shoes-006@3x.png
Ботильоны или Полусапоги,Обувь,"Из кожи, замши или нубука",Icon-shoes-007@3x.png
Угги,Обувь,Сапоги из овчины,Icon-shoes-008@3x.png
Ботинки,Обувь,"Из ткани, кожи, замши или нубука",Icon-shoes-009@3x.png
Туфли,Обувь,"Из ткани, кожи, замши или нубука",Icon-shoes-010@3x.png
Балетки или Босоножки,Обувь,"Из ткани, кожи, замши или нубука",Icon-shoes-011@3x.png
Кроссовки или Кеды,Обувь,Из ткани или кожи,Icon-shoes-012@3x.png
Шлепки,Обувь,Из ткани или кожи,Icon-shoes-013@3x.png
Сумка или Рюкзак или Портфель,Сумки и аксессуары,"Из текстиля, кожи, замши или нубука",Icon-bags-014@3x.png
Клатч или Кошелек или Косметичка,Сумки и аксессуары,"Из текстиля, кожи, замши или нубука",Icon-bags-015@3x.png
Чемодан,Сумки и аксессуары,Из текстиля или кожи,Icon-bags-016@3x.png
Перчатки или Варежки,Сумки и аксессуары,Из текстиля или кожи,Icon-bags-017@3x.png
Зонт,Сумки и аксессуары,Из нейлона или ткани,Icon-bags-018@3x.png
Шарф,Сумки и аксессуары,"Из текстиля, пуха или шерсти",Icon-bags-019@3x.png
Ремень,Сумки и аксессуары,"Из текстиля, кожи, замши или нубука",Icon-bags-020@3x.png
Галстук или Бабочка,Сумки и аксессуары,Из шелка или шерсти,Icon-bags-021@3x.png
Палантин или Шаль,Сумки и аксессуары,"Из текстиля, пуха или шерсти",Icon-bags-022@3x.png
Пальто,Верхняя одежда,"Демисезонное, утепленное, на пуху или синтепоне",Icon-outerwear-023@3x.png
Полупальто,Верхняя одежда,"Демисезонное, утепленное, на пуху или синтепоне",Icon-outerwear-024@3x.png
Плащ или Ветровка,Верхняя одежда,Из непромокаемого материала,Icon-outerwear-025@3x.png
Куртка,Верхняя одежда,Из текстиля или утепленная,Icon-outerwear-026@3x.png
Пуховик или Пуховый жилет,Верхняя одежда,"Мужской или женский, с рукавами или без",Icon-outerwear-027@3x.png
Куртка лыжная,Верхняя одежда,Из текстиля или утепленная,Icon-outerwear-028@3x.png
Комбинезон,Верхняя одежда,"Утепленный, на пуху или синтепоне",Icon-outerwear-029@3x.png
Горнолыжный костюм,Верхняя одежда,"Куртка, брюки или комбинезон, перчатки",Icon-outerwear-030@3x.png
Дубленка,Изделия из кожи и замши,Натуральная или на искусственном меху,Icon-skin-031@3x.png
Куртка,Изделия из кожи и замши,Из кожи или замши,Icon-skin-032@3x.png
Плащ,Изделия из кожи и замши,Из кожи или замши,Icon-skin-033@3x.png
Пальто,Изделия из кожи и замши,Из кожи или замши,Icon-skin-034@3x.png
Полупальто,Изделия из кожи и замши,Из кожи или замши,Icon-skin-035@3x.png
Пиджак,Изделия из кожи и замши,Из кожи или замши,Icon-skin-036@3x.png
Жилет,Изделия из кожи и замши,Из кожи или замши,Icon-skin-037@3x.png
Брюки,Изделия из кожи и замши,Из кожи или замши,Icon-skin-038@3x.png
Шуба,Меховые изделия,"Шиншилла, белка, соболь, куница, горностай",Icon-fur-039@3x.png
Шуба,Меховые изделия,"Норка, песец, лиса рыжая, лиса чернобурая, енот, бобр, хорек, ондатра, мутон",Icon-fur-039@3x.png
Шуба,Меховые изделия,"Овчина, кролик, собака, волк, каракуль, нутрия, камышовый кот",Icon-fur-039@3x.png
Полушубок,Меховые изделия,"Шиншилла, белка, соболь, куница, горностай",Icon-fur-040@3x.png
Полушубок,Меховые изделия,"Норка, песец, лиса рыжая, лиса чернобурая, енот, бобр, хорек, ондатра, мутон",Icon-fur-040@3x.png
Полушубок,Меховые изделия,"Овчина, кролик, собака, волк, каракуль, нутрия, камышовый кот",Icon-fur-040@3x.png
Жилет,Меховые изделия,"Шиншилла, белка, соболь, куница, горностай",Icon-fur-041@3x.png
Жилет,Меховые изделия,"Норка, песец, лиса рыжая, лиса чернобурая, енот, бобр, хорек, ондатра, мутон",Icon-fur-041@3x.png
Жилет,Меховые изделия,"Овчина, кролик, собака, волк, каракуль, нутрия, камышовый кот",Icon-fur-041@3x.png
"Шапка, Воротник",Меховые изделия,"Шиншилла, белка, соболь, куница, горностай",Icon-fur-042@3x.png
"Шапка, Воротник",Меховые изделия,"Норка, песец, лиса рыжая, лиса чернобурая, енот, бобр, хорек, ондатра, мутон",Icon-fur-042@3x.png
"Шапка, Воротник",Меховые изделия,"Овчина, кролик, собака, волк, каракуль, нутрия, камышовый кот",Icon-fur-042@3x.png
Меховые манжеты или пояс,Меховые изделия,"Шиншилла, белка, соболь, куница, горностай",Icon-fur-043@3x.png
Меховые манжеты или пояс,Меховые изделия,"Норка, песец, лиса рыжая, лиса чернобурая, енот, бобр, хорек, ондатра, мутон",Icon-fur-043@3x.png
Меховые манжеты или пояс,Меховые изделия,"Овчина, кролик, собака, волк, каракуль, нутрия, камышовый кот",Icon-fur-043@3x.png
Плед,Меховые изделия,Из натурального или искусственного меха,Icon-fur-046@3x.png
Пиджак,Костюмы,Верхняя часть классического мужского костюма,Icon-suits-047@3x.png
Смокинг или Фрак,Костюмы,Верхняя часть вечернего мужского костюма,Icon-suits-048@3x.png
Жилет,Костюмы,Классический или утепленный,Icon-suits-050@3x.png
Брюки,Брюки,Классические или утепленные,Icon-trousers-051@3x.png
Джинсы,Брюки,Классические или утепленные,Icon-trousers-052@3x.png
Шорты,Брюки,Из текстиля или джинсовой ткани,Icon-trousers-053@3x.png
Бриджи,Брюки,Короткие брюки,Icon-trousers-054@3x.png
Платье или Сарафан или Туника,Платья и юбки,"Простое, на подкладе, из шелка или льна",Icon-drees-055@3x.png
Платье свадебное,Платья и юбки,Простой фасон,Icon-drees-056@3x.png
Корсет,Платья и юбки,Простой или свадебный,Icon-drees-057@3x.png
Платье вечернее,Платья и юбки,Коктейльное или вечернее,Icon-drees-058@3x.png
Юбка,Платья и юбки,"Повседневная, утепленная, вечерняя или свадебная",Icon-drees-059@3x.png
Платье свадебное,Платья и юбки,Сложный фасон,Icon-drees-056@3x.png
Рубашка или Сорочка,Рубашки и блузы,"Мужская, хлопок или шерсть, вискоза, шелк, лен",Icon-shirt-062@3x.png
Блузка,Рубашки и блузы,"Женская, хлопок или шерсть, вискоза, шелк, лен",Icon-shirt-063@3x.png
Водолазка,Текстиль и трикотаж,Тонкой или толстой вязки,Icon-textile-064@3x.png
Джемпер,Текстиль и трикотаж,Тонкой или толстой вязки,Icon-textile-065@3x.png
Пуловер,Текстиль и трикотаж,Тонкой или толстой вязки,Icon-textile-066@3x.png
Свитер,Текстиль и трикотаж,Тонкой или толстой вязки,Icon-textile-067@3x.png
Жакет,Текстиль и трикотаж,Текстиль или шерсть,Icon-textile-068@3x.png
Кардиган,Текстиль и трикотаж,Тонкой или толстой вязки,Icon-textile-069@3x.png
Трикотаж,Текстиль и трикотаж,Тонкой или толстой вязки,Icon-textile-070@3x.png
Пончо,Текстиль и трикотаж,Тонкой или толстой вязки,Icon-textile-071@3x.png
Футболка,Текстиль и трикотаж,Без рукавов или с короткими рукавами,Icon-textile-072@3x.png
Футболка с длинным рукавом,Текстиль и трикотаж,Футболка с длинными рукавами,Icon-textile-073@3x.png
Майка без рукавов,Текстиль и трикотаж,Просто майка без рукавов,Icon-textile-074@3x.png
Халат,Домашняя одежда,"Из хлопка, шелка или махровый",Icon-homewear-075@3x.png
Нижнее белье,Домашняя одежда,"Трусы, бюстгальтер",Icon-homewear-076@3x.png
Ночная сорочка,Домашняя одежда,Хлопок или шелк,Icon-homewear-077@3x.png
Пижама,Домашняя одежда,Комплект верх + низ,Icon-homewear-078@3x.png
Фартук,Домашняя одежда,Любите готовить?,Icon-homewear-079@3x.png
Брюки,Спортивная одежда,"Легкие или утепленные, с подкладом или без",Icon-sportswear-080@3x.png
Лосины,Спортивная одежда,Лосины или леггинсы,Icon-sportswear-081@3x.png
Топ,Спортивная одежда,Укороченная разновидность майки,Icon-sportswear-082@3x.png
Толстовка,Спортивная одежда,Спортивная кофта,Icon-sportswear-083@3x.png
Купальник,Спортивная одежда,Купальник или мужские плавки,Icon-sportswear-084@3x.png
Тонкие или Тюль,Шторы,Лёгкие прозрачные сетчатые шторы,Icon-blinds-085@3x.png
Толстые или Портьеры,Шторы,"Плотные шторы из гобелена, бархата",Icon-blinds-086@3x.png
Двойные,Шторы,Ламбрекен или на подкладке,Icon-blinds-087@3x.png
Низковорсный,Ковры,"С ворсом менее 2 сантиметров, шерстяной или синтетический",Icon-carpets-088@3x.png
Высоковорсный,Ковры,"С ворсом более 2 сантиметров, шерстяной или синтетический",Icon-carpets-089@3x.png
Ручной работы или Шелковый,Ковры,"Эксклюзивный, шерсть, вискоза или шелк",Icon-carpets-090@3x.png
Ковровая дорожка,Ковры,"Узкий, длинный ковер",Icon-carpets-091@3x.png
Коврик для ванной,Ковры,"Маленький, из текстиля в пределах 40 x 60 сантиметров",Icon-carpets-092@3x.png
Мягкая игрушка,Все для дома,Весом не более трех килограмм,Icon-housing-093@3x.png
Подушка,Все для дома,"С наполнителем пух-перо, синтепон или шерсть",Icon-housing-094@3x.png
Наволочка,Все для дома,Из хлопка или шелка,Icon-housing-095@3x.png
Простыня,Все для дома,"Полутора или двуспальная, из хлопка или шелка",Icon-housing-096@3x.png
Пододеяльник,Все для дома,"Полутора или двуспальный, из хлопка или шелка",Icon-housing-097@3x.png
Одеяло,Все для дома,"Полутора или двуспальное, с наполнителем из пуха, пера, синтепона или шерсти",Icon-housing-098@3x.png
Покрывало или Плед,Все для дома,Тонкое или объемное,Icon-housing-098@3x.png
Скатерть,Все для дома,Хлопок или шелк,Icon-housing-099@3x.png
Полотенце для рук/лица,Все для дома,Кухонное или банное,Icon-housing-100@3x.png
Полотенце для тела,Все для дома,"Забота о банном полотенце, это забота о вашем теле",Icon-housing-100@3x.png
Бизнес,Специальные предложения,"5 рубашек или блузок. Для людей, ценящих свое время",Icon-business@3x.png
Солидный,Специальные предложения,"Костюм (пиджак + брюки) с иголочки, без замятий и складок",Icon-solid@3x.png
Хочется тепла,Специальные предложения,"Три любых свитера / джемпера / кардигана, чтобы не замерзнуть",Icon-heat@3x.png
Для леди,Специальные предложения,Побалуйте 3 своих любимых платья настоящим SPA для вещей,Icon-ladies@3x.png
Для двоих,Специальные предложения,"Комплект постельного белья: Простыня большая, 2 наволочки, 2 маленьких пододеяльника или один большой",Icon-fortwo@3x.png
Сплю один,Специальные предложения,"Комплект постельного белья: Простыня, наволочка, пододеяльник",Icon-alone@3x.png
Королевская постель,Специальные предложения,"Комплект постельного белья для кроватей размера King Size: Простыня большая, 4 наволочки, 2 маленьких пододеяльника или один большой",Icon-kingbed@3x.png
До блеска,Специальные предложения,3 пары ваших туфлей снова засияют,Icon-shine@3x.png
Генеральная уборка,Специальные предложения,"Простыня большая, 2 наволочки, 2 маленьких пододеяльника или один большой, 2 больших полотенца, 2 маленьких, коврик для ванной",Icon-cleaning@3x.png
Генеральная уборка MAXI,Специальные предложения,"2 большие простыни, 4 наволочки, 4 маленьких пододеяльника или два больших, 4 больших полотенца, 4 маленьких, 2 коврика для ванной",Icon-cleaning-maxi@3x.png
Молодежный,Специальные предложения,"5 чистых, свежих футболок на каждый день",Icon-youth@3x.png
Молодежный с обувью,Специальные предложения,Приведите в порядок 5 футболок и 2 пары кроссовок для тусовок,Icon-youth-shoe@3x.png
